bond_length_angstrom,vqe_energy_ha,exact_energy_ha,delta_ha
0.4,-2.2370927319153884,-2.237092731927088,1.16995302334999e-11
0.5,-2.1135142162884644,-2.1135142163106244,2.2160051571518125e-11
0.6,-1.9982480250306747,-1.9982480250695396,3.886491128923808e-11
0.7,-1.8921568981820902,-1.8921568982373527,5.526246127374179e-11
0.8,-1.7956191802703698,-1.7956191803270969,5.67270674878273e-11
0.9,-1.7085348085686558,-1.7085349600999873,1.5153133148260167e-07
1.0,-1.6303275297252393,-1.6303275411526232,1.1427383928008794e-08
1.1,-1.560263136700322,-1.5602631367145303,1.4208412224547828e-11
1.2,-1.4977217540304242,-1.4977217554052573,1.3748331362251065e-09
1.3,-1.4422456568065658,-1.4422456594496393,2.643073537811347e-09
1.4,-1.3934519691427782,-1.393451971373961,2.231182794076858e-09
1.5,-1.3509341598037004,-1.3509341607514087,9.477083562359212e-10
1.6,-1.3142084856903946,-1.3142084858581733,1.6777867983819306e-10
1.7,-1.282707400758652,-1.282707400764222,5.56998891454441e-12
1.8,-1.255803997935105,-1.2558042921925803,2.9425747527511703e-07
1.9,-1.2328531755342522,-1.2328531755355734,1.3211653993039363e-12
2.0,-1.213229717505445,-1.2132297176361886,1.3074363813814216e-10
2.1,-1.1963638277425273,-1.1963638291768854,1.4343581877795941e-09
2.2,-1.1817591229326831,-1.1817591295659902,6.633307014780598e-09
2.3,-1.1689994154541894,-1.168999434213363,1.8759173547877595e-08
2.4,-1.157745418877575,-1.15774545755963,3.868205489254706e-08
